,All
51->52,0.007352941176470588
52->53,0.02185792349726776
53->54,0.005681818181818182
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.0064516129032258064
60->61,0.0
61->62,0.03418803418803419
62->63,0.020618556701030927
63->64,0.0
64->65,0.01818181818181818
65->66,0.0
66->67,0.012658227848101266
67->68,0.0
68->69,0.0
69->70,0.010309278350515464
70->71,0.0
71->72,0.013513513513513514
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.0
77->78,0.0
78->79,0.0
79->80,0.0
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.01652892561983471
84->85,0.01652892561983471
85->86,0.00819672131147541
86->87,0.0
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.0
92->93,0.0
93->94,0.006944444444444444
94->95,0.0
95->96,0.0
96->97,0.05785123966942149
97->98,0.0
98->99,0.0
99->100,0.0
100->101,0.017391304347826087
