,All
51->52,0.0
52->53,0.0
53->54,0.06625422345438903
54->55,0.0
55->56,0.0
56->57,0.0
57->58,0.0
58->59,0.0
59->60,0.3151625504769836
60->61,0.0
61->62,0.0
62->63,0.0
63->64,0.0
64->65,0.0
65->66,0.0
66->67,0.0
67->68,0.14465249243306436
68->69,0.0
69->70,0.07839826897867533
70->71,0.0
71->72,0.20829366581033176
72->73,0.0
73->74,0.0
74->75,0.0
75->76,0.0
76->77,0.14201905717762703
77->78,0.0
78->79,0.0
79->80,0.0
80->81,0.0
81->82,0.0
82->83,0.0
83->84,0.0636207881989517
84->85,0.3589542101716347
85->86,0.0
86->87,0.2153829792769871
87->88,0.0
88->89,0.0
89->90,0.0
90->91,0.0
91->92,0.0
92->93,0.0
93->94,0.3589542101716347
94->95,0.0
95->96,0.0
96->97,0.0
97->98,0.0
98->99,0.0
99->100,0.3589542101716347
100->101,0.227162174819248
