,All
51->52,0.0
52->53,0.08
53->54,0.2
54->55,0.04
55->56,0.08
56->57,0.2
57->58,0.0
58->59,0.28
59->60,0.24
60->61,0.28
61->62,0.32
62->63,0.24
63->64,0.12
64->65,0.2
65->66,0.08
66->67,0.0
67->68,0.4
68->69,0.12
69->70,0.08
70->71,0.04
71->72,0.04
72->73,0.0
73->74,0.24
74->75,0.0
75->76,0.12
76->77,0.08
77->78,0.12
78->79,0.08
79->80,0.2
80->81,0.04
81->82,0.0
82->83,0.16
83->84,0.04
84->85,0.44
85->86,0.08
86->87,0.16
87->88,0.04
88->89,0.12
89->90,0.08
90->91,0.12
91->92,0.04
92->93,0.08
93->94,0.24
94->95,0.08
95->96,0.12
96->97,0.2
97->98,0.08
98->99,0.12
99->100,0.12
100->101,0.44
